,Lapwing_ID,Spur_mm,Wing_mm,Tail_mm,Leg_mm,Total SMI,Test_Number,Box_time,Fields 1,Urban,Bare_Ground,Clouds,Fields 2,Natural,Fields 3,Snow,mataim,WaterPonds,dirt road,Main roads,Experiment,Date,Time,Trial_order,Weight,Year,Sex,Nest_X,Nest_Y,Initial_weight,UrbanizationScore,Months,WeightLoss,LTEBinomial,Experiment SMI
35,22747,7.8,205,94,78.8,185.7705452,2,26.61,96.56,0,0,0,0,1.41,0,0,0,0,2.04,0,LTE,07/06/2022,7:39:00,1,174,2022,Female,32.53295,35.451315,185,0,6,-5.945945946,0,174.502181
36,22747,7.8,205,94,78.8,185.7705452,3,8.56,96.56,0,0,0,0,1.41,0,0,0,0,2.04,0,LTE,13/06/2022,8:37:00,2,170,2022,Female,32.53295,35.451315,185,0,6,-8.108108108,0,170.4906366
37,22748,8.6,205,95,71.8,174.724729,2,169.09,31.2,0,0,0,1.56,0,0,0,0,66.73,0.51,0,LTE,13/06/2022,10:40:00,6,161,2022,Male,32.528303,35.413532,174,0,6,-7.471264368,0,161.4646617
38,22748,8.6,205,95,71.8,174.724729,3,38.2,31.2,0,0,0,1.56,0,0,0,0,66.73,0.51,0,LTE,21/06/2022,10:03:00,5,162,2022,Male,32.528303,35.413532,174,0,6,-6.896551724,0,162.4675478
39,22748,8.6,205,95,71.8,174.724729,1,442.23,31.2,0,0,0,1.56,0,0,0,0,66.73,0.51,0,LTE,07/06/2022,10:03:00,6,168,2022,Male,32.528303,35.413532,174,0,6,-3.448275862,1,168.4848644
40,22749,6.3,202,93,77.1,189.4694298,3,0.3,31.2,0,0,0,1.56,0,0,0,0,66.73,0.51,0,LTE,21/06/2022,13:16:00,11,171,2022,Female,32.528303,35.413532,186,0,6,-8.064516129,0,173.2053069
41,22749,6.3,202,93,77.1,189.4694298,1,497.21,31.2,0,0,0,1.56,0,0,0,0,66.73,0.51,0,LTE,07/06/2022,13:38:00,11,172,2022,Female,32.528303,35.413532,186,0,6,-7.52688172,1,174.2182035
42,22749,6.3,202,93,77.1,189.4694298,2,60.48,31.2,0,0,0,1.56,0,0,0,0,66.73,0.51,0,LTE,13/06/2022,11:08:00,7,162,2022,Female,32.528303,35.413532,186,0,6,-12.90322581,0,164.0892381
43,22750,7.9,200,95,75.7,184.1103325,3,229.07,7.39,0,0,0,0,3.22,0,0,0,89.13,0.26,0,LTE,21/06/2022,11:11:00,7,174,2022,Female,32.538802,35.410296,179,0,6,-2.793296089,1,177.4294552
44,22750,7.9,200,95,75.7,184.1103325,2,415.01,7.39,0,0,0,0,3.22,0,0,0,89.13,0.26,0,LTE,13/06/2022,9:35:00,4,180,2022,Female,32.538802,35.410296,179,0,6,0.558659218,1,183.5477123
45,22750,7.9,200,95,75.7,184.1103325,1,140.71,7.39,0,0,0,0,3.22,0,0,0,89.13,0.26,0,LTE,07/06/2022,9:36:00,5,168,2022,Female,32.538802,35.410296,179,0,6,-6.145251397,0,171.3111982
46,32419,7.3,210,93,75.2,177.5476004,1,2.5,44.16,55.84,0,0,0,0,0,0,0,0,0,0,LTE,22/06/2020,13:17:00,5,160,2020,Female,32.451363,35.015859,181,65.8,6,-11.60220994,0,157.8777192
47,32419,7.3,210,93,75.2,177.5476004,2,2.7,44.16,55.84,0,0,0,0,0,0,0,0,0,0,LTE,29/06/2020,10:59:00,3,172,2020,Female,32.451363,35.015859,181,65.8,6,-4.972375691,0,169.7185482
48,32419,7.3,210,93,75.2,177.5476004,3,1.3,44.16,55.84,0,0,0,0,0,0,0,0,0,0,LTE,06/07/2020,10:02:00,2,171,2020,Female,32.451363,35.015859,181,65.8,7,-5.524861878,0,168.7318124
49,32420,11.1,205,97,77.5,195.8121963,1,9.5,16.66,83.34,0,0,0,0,0,0,0,0,0,0,LTE,22/06/2020,12:36:00,4,172,2020,Male,32.444244,34.973546,195,74.93,6,-11.79487179,0,172.4964088
50,32420,11.1,205,97,77.5,195.8121963,2,22.3,16.66,83.34,0,0,0,0,0,0,0,0,0,0,LTE,29/06/2020,12:02:00,5,178,2020,Male,32.444244,34.973546,195,74.93,6,-8.717948718,0,178.5137254
51,32420,11.1,205,97,77.5,195.8121963,3,3.1,16.66,83.34,0,0,0,0,0,0,0,0,0,0,LTE,06/07/2020,11:12:00,4,182,2020,Male,32.444244,34.973546,195,74.93,7,-6.666666667,0,182.5252698
52,32421,8.8,205,93,98.5,193.8038661,3,2.2,49,51,0,0,0,0,0,0,0,0,0,0,LTE,06/07/2020,11:41:00,5,179,2020,Male,32.451819,35.015313,193,55.29,7,-7.25388601,0,179.5166115
53,32421,8.8,205,93,98.5,193.8038661,1,244.24,49,51,0,0,0,0,0,0,0,0,0,0,LTE,22/06/2020,11:55:00,3,175,2020,Male,32.451819,35.015313,193,55.29,6,-9.32642487,1,175.5050671
54,32421,8.8,205,93,98.5,193.8038661,2,1.5,49,51,0,0,0,0,0,0,0,0,0,0,LTE,29/06/2020,11:32:00,4,182,2020,Male,32.451819,35.015313,193,55.29,6,-5.699481865,0,182.5252698
55,32422,3.5,205,91,75.5,171.7122337,1,119.67,10.98,89.02,0,0,0,0,0,0,0,0,0,0,LTE,22/06/2020,13:49:00,6,159,2020,Female,32.444296,34.973194,171,74.65,6,-7.01754386,0,159.4588895
56,32422,3.5,205,91,75.5,171.7122337,2,266.5,10.98,89.02,0,0,0,0,0,0,0,0,0,0,LTE,29/06/2020,10:21:00,2,166,2020,Female,32.444296,34.973194,171,74.65,6,-2.923976608,1,166.4790922
57,32422,3.5,205,91,75.5,171.7122337,3,140.61,10.98,89.02,0,0,0,0,0,0,0,0,0,0,LTE,06/07/2020,10:33:00,3,162,2020,Female,32.444296,34.973194,171,74.65,7,-5.263157895,0,162.4675478
58,32424,10.9,211,98,78.5,191.3760571,1,1.5,48.58,51.42,0,0,0,0,0,0,0,0,0,0,LTE,22/06/2020,9:15:00,1,182,2020,Male,32.444662,34.971278,196,49.12,6,-7.142857143,0,179.0120479
59,32424,10.9,211,98,78.5,191.3760571,2,2.8,48.58,51.42,0,0,0,0,0,0,0,0,0,0,LTE,29/06/2020,9:47:00,1,191,2020,Male,32.444662,34.971278,196,49.12,6,-2.551020408,0,187.864292
60,32424,10.9,211,98,78.5,191.3760571,3,108.44,48.58,51.42,0,0,0,0,0,0,0,0,0,0,LTE,08/07/2020,11:05:00,3,174,2020,Male,32.444662,34.971278,196,49.12,7,-11.2244898,0,171.1433865
61,32431,10,205,97,77.5,181.7538848,2,448.93,46.8,53.2,0,0,0,0,0,0,0,0,0,0,LTE,08/07/2020,11:40:00,4,174,2020,Male,32.142379,34.819771,181,47.53,7,-3.867403315,1,174.502181
62,32431,10,205,97,77.5,181.7538848,1,246.67,46.8,53.2,0,0,0,0,0,0,0,0,0,0,LTE,02/07/2020,10:39:00,3,173,2020,Male,32.142379,34.819771,181,47.53,7,-4.419889503,1,173.4992949
63,32431,10,205,97,77.5,181.7538848,3,600,46.8,53.2,0,0,0,0,0,0,0,0,0,0,LTE,16/07/2020,12:37:00,7,170,2020,Male,32.142379,34.819771,181,47.53,7,-6.077348066,1,170.4906366
64,32432,5.6,205,97,74.5,193.8038661,3,600,46.8,53.2,0,0,0,0,0,0,0,0,0,0,LTE,16/07/2020,10:44:00,4,178,2020,Female,32.142379,34.819771,193,47.53,7,-7.772020725,1,178.5137254
65,32432,5.6,205,97,74.5,193.8038661,1,96.16,46.8,53.2,0,0,0,0,0,0,0,0,0,0,LTE,02/07/2020,10:04:00,2,184,2020,Female,32.142379,34.819771,193,47.53,7,-4.663212435,0,184.5310419
66,32432,5.6,205,97,74.5,193.8038661,2,85.53,46.8,53.2,0,0,0,0,0,0,0,0,0,0,LTE,08/07/2020,12:18:00,5,180,2020,Female,32.142379,34.819771,193,47.53,7,-6.735751295,0,180.5194976
67,32433,1.3,201,90,72.3,193.4560202,1,1.6,75.85,24.15,0,0,0,0,0,0,0,0,0,0,LTE,02/07/2020,9:24:00,1,177,2020,Female,32.145961,34.826317,189,36.45,7,-6.349206349,0,179.8831246
68,32433,1.3,201,90,72.3,193.4560202,2,61.02,75.85,24.15,0,0,0,0,0,0,0,0,0,0,LTE,06/07/2020,9:29:00,1,179,2020,Female,32.145961,34.826317,189,36.45,7,-5.291005291,0,181.9157023
69,32434,13.2,218,102,77.9,191.077911,1,10.1,78.68,21.32,0,0,0,0,0,0,0,0,0,0,LTE,02/07/2020,11:17:00,4,188,2020,Male,32.146048,34.826132,202,33.91,7,-6.930693069,0,180.8920244
70,32434,13.2,218,102,77.9,191.077911,2,3.8,78.68,21.32,0,0,0,0,0,0,0,0,0,0,LTE,08/07/2020,12:47:00,6,193,2020,Male,32.146048,34.826132,202,33.91,7,-4.455445545,0,185.7029825
71,32434,13.2,218,102,77.9,191.077911,3,4.5,78.68,21.32,0,0,0,0,0,0,0,0,0,0,LTE,16/07/2020,11:25:00,5,194,2020,Male,32.146048,34.826132,202,33.91,7,-3.96039604,0,186.6651741
72,32435,6.3,204,93,73,185.6463731,1,600,89.34,10.66,0,0,0,0,0,0,0,0,0,0,LTE,08/07/2020,10:21:00,2,169,2020,Female,32.454353,34.939508,184,7.9,7,-8.152173913,1,170.0470437
73,32435,6.3,204,93,73,185.6463731,2,600,89.34,10.66,0,0,0,0,0,0,0,0,0,0,LTE,16/07/2020,11:54:00,6,172,2020,Female,32.454353,34.939508,184,7.9,7,-6.52173913,1,173.0656302
74,32435,6.3,204,93,73,185.6463731,3,11.5,89.34,10.66,0,0,0,0,0,0,0,0,0,0,LTE,22/07/2020,8:37:00,2,175,2020,Female,32.454353,34.939508,184,7.9,7,-4.891304348,0,176.0842168
75,32436,11.9,203,90,76.9,187.5486892,1,3.4,89.34,10.66,0,0,0,0,0,0,0,0,0,0,LTE,08/07/2020,9:49:00,1,174,2020,Male,32.454353,34.939508,185,7.9,7,-5.945945946,0,175.6586056
76,32436,11.9,203,90,76.9,187.5486892,2,294.78,89.34,10.66,0,0,0,0,0,0,0,0,0,0,LTE,16/07/2020,10:06:00,3,179,2020,Male,32.454353,34.939508,185,7.9,7,-3.243243243,1,180.7062666
77,32436,11.9,203,90,76.9,187.5486892,3,600,89.34,10.66,0,0,0,0,0,0,0,0,0,0,LTE,22/07/2020,9:42:00,4,178,2020,Male,32.454353,34.939508,185,7.9,7,-3.783783784,1,179.6967344
78,32437,6.4,214,98,78.7,174.3221282,3,1.6,0.01,11.62,3.21,0,0,0,75.78,0,0.13,9.25,0,0,LTE,29/07/2020,10:59:00,5,166,2020,Female,32.492261,34.936742,181,1.76,7,-8.287292818,0,161.7291047
79,32437,6.4,214,98,78.7,174.3221282,1,131.65,0.01,11.62,3.21,0,0,0,75.78,0,0.13,9.25,0,0,LTE,16/07/2020,8:56:00,1,173,2020,Female,32.492261,34.936742,181,1.76,7,-4.419889503,0,168.5490067
80,32437,6.4,214,98,78.7,174.3221282,2,50.75,0.01,11.62,3.21,0,0,0,75.78,0,0.13,9.25,0,0,LTE,22/07/2020,9:08:00,3,170,2020,Female,32.492261,34.936742,181,1.76,7,-6.077348066,0,165.6261916
81,32438,12.9,208,94,72.7,186.1368165,2,35.19,0.01,11.62,3.21,0,0,0,75.78,0,0.13,9.25,0,0,LTE,22/07/2020,8:07:00,1,190,2020,Male,32.492261,34.936742,188,1.76,7,1.063829787,0,188.6923992
82,32438,12.9,208,94,72.7,186.1368165,3,2.7,0.01,11.62,3.21,0,0,0,75.78,0,0.13,9.25,0,0,LTE,29/07/2020,12:00:00,7,181,2020,Male,32.492261,34.936742,188,1.76,7,-3.723404255,0,179.7543382
83,32438,12.9,208,94,72.7,186.1368165,1,3.4,0.01,11.62,3.21,0,0,0,75.78,0,0.13,9.25,0,0,LTE,16/07/2020,9:34:00,2,185,2020,Male,32.492261,34.936742,188,1.76,7,-1.595744681,0,183.7268097
84,32441,4.3,204,90,81.5,184.6374254,1,600,77.23,22.77,0,0,0,0,0,0,0,0,0,0,LTE,22/07/2020,10:59:00,6,176,2020,Male,32.149282,34.821199,183,8.04,7,-3.825136612,1,177.0904123
85,32441,4.3,204,90,81.5,184.6374254,2,98.03,77.23,22.77,0,0,0,0,0,0,0,0,0,0,LTE,29/07/2020,9:56:00,3,186,2020,Male,32.149282,34.821199,183,8.04,7,1.639344262,0,187.1523676
86,32441,4.3,204,90,81.5,184.6374254,3,183.07,77.23,22.77,0,0,0,0,0,0,0,0,0,0,LTE,05/08/2020,8:56:00,1,189,2020,Male,32.149282,34.821199,183,8.04,8,3.278688525,0,190.1709542
87,32442,7.7,201,90,70.3,183.220252,3,36.05,77.23,22.77,0,0,0,0,0,0,0,0,0,0,LTE,05/08/2020,10:40:00,4,165,2020,Female,32.149282,34.821199,179,8.04,8,-7.82122905,0,167.6876585
88,32442,7.7,201,90,70.3,183.220252,1,84.92,77.23,22.77,0,0,0,0,0,0,0,0,0,0,LTE,22/07/2020,12:08:00,8,156,2020,Female,32.149282,34.821199,179,8.04,7,-12.84916201,0,158.541059
89,32442,7.7,201,90,70.3,183.220252,2,7.2,77.23,22.77,0,0,0,0,0,0,0,0,0,0,LTE,29/07/2020,10:28:00,4,170,2020,Female,32.149282,34.821199,179,8.04,7,-5.027932961,0,172.7691027
90,32443,10.2,202,94,77.1,205.7678754,1,4.2,75.47,23.12,0,0,0,1.41,0,0,0,0,0,0,LTE,22/07/2020,11:38:00,7,188,2020,Male,32.150295,34.824524,202,21.63,7,-6.930693069,0,190.424548
91,32443,10.2,202,94,77.1,205.7678754,2,2.8,75.47,23.12,0,0,0,1.41,0,0,0,0,0,0,LTE,29/07/2020,11:28:00,6,195,2020,Male,32.150295,34.824524,202,21.63,7,-3.465346535,0,197.5148237
92,32443,10.2,202,94,77.1,205.7678754,3,1.3,75.47,23.12,0,0,0,1.41,0,0,0,0,0,0,LTE,05/08/2020,11:09:00,5,192,2020,Male,32.150295,34.824524,202,21.63,8,-4.95049505,0,194.4761341
93,32444,5.5,202,90,77.7,172.1523314,2,29.58,28.52,71.48,0,0,0,0,0,0,0,0,0,0,LTE,29/07/2020,9:28:00,2,166,2020,Female,32.142242,34.819781,169,60.87,7,-1.775147929,0,168.1408243
94,32444,5.5,202,90,77.7,172.1523314,1,187.51,28.52,71.48,0,0,0,0,0,0,0,0,0,0,LTE,22/07/2020,10:24:00,5,156,2020,Female,32.142242,34.819781,169,60.87,7,-7.692307692,0,158.011859
95,32444,5.5,202,90,77.7,172.1523314,3,129.61,28.52,71.48,0,0,0,0,0,0,0,0,0,0,LTE,05/08/2020,10:09:00,3,163,2020,Female,32.142242,34.819781,169,60.87,8,-3.550295858,0,165.1021347
96,32445,6.4,207,94,75.7,181.0420694,1,2.2,32.23,67.77,0,0,0,0,0,0,0,0,0,0,LTE,27/07/2020,10:00:00,1,168,2020,Female,32.139344,34.823647,182,66.43,7,-7.692307692,0,167.386401
97,32445,6.4,207,94,75.7,181.0420694,2,2.7,32.23,67.77,0,0,0,0,0,0,0,0,0,0,LTE,03/08/2020,10:20:00,3,172,2020,Female,32.139344,34.823647,182,66.43,8,-5.494505495,0,171.3717915
98,32446,6.6,206,93,74.6,204.8828049,1,600,23.49,76.36,0,0,0,0.14,0,0,0,0,0,0,LTE,27/07/2020,10:30:00,2,172,2020,Female,32.143061,34.823788,205,78.37,7,-16.09756098,1,171.9318158
99,32446,6.6,206,93,74.6,204.8828049,2,600,23.49,76.36,0,0,0,0.14,0,0,0,0,0,0,LTE,03/08/2020,9:40:00,2,169,2020,Female,32.143061,34.823788,205,78.37,8,-17.56097561,1,168.9330051
100,32446,6.6,206,93,74.6,204.8828049,3,308.83,23.49,76.36,0,0,0,0.14,0,0,0,0,0,0,LTE,10/08/2020,9:02:00,1,169,2020,Female,32.143061,34.823788,205,78.37,8,-17.56097561,1,168.9330051
101,32447,10.3,198,91,74.4,170.3374368,2,58.17,53.28,44.6,0,0,0,2.12,0,0,0,0,0,0,LTE,03/08/2020,9:10:00,1,166,2020,Male,32.146597,34.812101,164,42.55,8,1.219512195,0,170.4218229
102,32447,10.3,198,91,74.4,170.3374368,1,24.08,53.28,44.6,0,0,0,2.12,0,0,0,0,0,0,LTE,27/07/2020,11:07:00,3,159,2020,Male,32.146597,34.812101,164,42.55,7,-3.048780488,0,163.2353605
103,32447,10.3,198,91,74.4,170.3374368,3,71.22,53.28,44.6,0,0,0,2.12,0,0,0,0,0,0,LTE,10/08/2020,9:40:00,2,173,2020,Male,32.146597,34.812101,164,42.55,8,5.487804878,0,177.6082853
104,33665,9.8,215,96,76.8,174.4930024,3,4.4,75.94,23.72,0,0,0,0,0.34,0,0,0,0,0,LTE,12/08/2020,9:08:00,1,179,2020,Female,31.78631,34.672921,182,14.4,8,-1.648351648,0,173.8477434
105,33665,9.8,215,96,76.8,174.4930024,1,117.61,75.94,23.72,0,0,0,0,0.34,0,0,0,0,0,LTE,29/07/2020,8:56:00,1,164,2020,Female,31.78631,34.672921,182,14.4,7,-9.89010989,0,159.2794967
106,33665,9.8,215,96,76.8,174.4930024,2,387.18,75.94,23.72,0,0,0,0,0.34,0,0,0,0,0,LTE,05/08/2020,9:28:00,2,176,2020,Female,31.78631,34.672921,182,14.4,8,-3.296703297,1,170.9340941
107,33858,6.8,204,88,73.5,186.6553207,1,2.12,74,26,0,0,0,0,0,0,0,0,0,0,LTE,01/05/2021,9:40:00,3,170,2021,Female,32.148673,34.820411,185,15.91,5,-8.108108108,0,171.0532392
108,33858,6.8,204,88,73.5,186.6553207,2,53.42,74,26,0,0,0,0,0,0,0,0,0,0,LTE,10/05/2021,8:24:00,1,174,2021,Female,32.148673,34.820411,185,15.91,5,-5.945945946,0,175.0780213
109,33858,6.8,204,88,73.5,186.6553207,3,600,74,26,0,0,0,0,0,0,0,0,0,0,LTE,17/05/2021,11:02:00,6,173,2021,Female,32.148673,34.820411,185,15.91,5,-6.486486486,1,174.0718258
110,33859,6.4,211,90,70,175.7535219,1,3.46,31.99,68.01,0,0,0,0,0,0,0,0,0,0,LTE,01/05/2021,8:48:00,1,190,2021,Female,32.140829,34.821023,180,32.88,5,5.555555556,0,186.8807094
111,33859,6.4,211,90,70,175.7535219,2,3.15,31.99,68.01,0,0,0,0,0,0,0,0,0,0,LTE,10/05/2021,9:50:00,4,182,2021,Female,32.140829,34.821023,180,32.88,5,1.111111111,0,179.0120479
112,33859,6.4,211,90,70,175.7535219,3,600,31.99,68.01,0,0,0,0,0,0,0,0,0,0,LTE,17/05/2021,11:37:00,7,169,2021,Female,32.140829,34.821023,180,32.88,5,-6.111111111,1,166.2254731
113,33860,7.9,205,94,74.5,182.7580499,3,385.66,31.99,68.01,0,0,0,0,0,0,0,0,0,0,LTE,17/05/2021,8:50:00,2,163,2021,Male,32.140829,34.821023,182,32.88,5,-10.43956044,1,163.4704339
114,33860,7.9,205,94,74.5,182.7580499,1,9.98,31.99,68.01,0,0,0,0,0,0,0,0,0,0,LTE,01/05/2021,9:15:00,2,163,2021,Male,32.140829,34.821023,182,32.88,5,-10.43956044,0,163.4704339
