Row_Number,Lapwing_ID,Test_Number,Fields,Urban,Water_Ponds,Experiment,Date,time,Trial_order,Weight,Year,Sex,Nest_X,Nest_Y,Initial_weight,TimeStandingSec,Head_bobbing,peck,Pose_fly,preening,Puff,Call,screening,Shake_wings,Shaking_head,Tail_wingle,Fly_Sequences,Mean_Time_Fly_sec,Total_Time_Fly_sec,SE_Time_Fly_sec,Number_Stops_Locations,Total_Time_Stoped,Walking_Meters,Percentage_In_Camera_View,area_explored,TimeInCenter,TimeInPeri,TotalUniqueLocationsVisited,NumberOfHighExploration,NumberOfMedianExploration,NumberOfLowExploration,PC1,PC2,SMI,Experiment_SMI,Spur_mm,Wing_mm,Tail_mm,Leg_mm,Time_to_emerge,Minimum_Disp_Threat
75,22740,1,0,86.32,0,CST,24/05/2022,12:13:00,7,150,2022,Female,32.504349,35.459827,173,95.23,16,NA,0,0,0,10,0,0,0,2,5,5.64,28.21,0.51,119,16,18.15,92,51.92,7.8,92.2,81,0,1,80,-0.488763139,2.328546103,177.9390365,152.9564269,6.8,200,95,75,NA,51.59
76,22740,2,0,86.32,0,LTE,31/05/2022,10:34:00,6,155,2022,Female,32.504349,35.459827,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.9390365,158.0549745,6.8,200,95,75,3.88,NA
77,22740,2,0,86.32,0,OFT,31/05/2022,10:34:00,6,155,2022,Female,32.504349,35.459827,173,217.4,1,0,5,0,2,0,0,0,1,5,4,6.9,27.62,1.54,304,43,35.53,96,53.85,5.4,94.6,84,2,3,79,0.06897973,1.176490606,177.9390365,158.0549745,6.8,200,95,75,NA,NA
78,22740,2,0,86.32,0,CST,31/05/2022,10:34:00,6,155,2022,Female,32.504349,35.459827,173,120.43,4,NA,0,0,0,11,0,0,0,2,5,4.71,23.53,2.14,149,16,12.2,99,29.49,1.4,98.6,46,1,1,44,0.895284607,1.424461493,177.9390365,158.0549745,6.8,200,95,75,NA,77.06
79,22740,3,0,86.32,0,LTE,07/06/2022,14:48:00,13,156,2022,Female,32.504349,35.459827,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.9390365,159.074684,6.8,200,95,75,1.1,NA
80,22740,3,0,86.32,0,OFT,07/06/2022,14:48:00,13,156,2022,Female,32.504349,35.459827,173,196.83,1,0,0,0,2,0,0,0,4,10,4,3.89,15.55,1.76,284,49,45.19,98,39.1,0.4,99.6,61,1,3,57,-0.618086243,0.602535897,177.9390365,159.074684,6.8,200,95,75,NA,NA
81,22740,3,0,86.32,0,CST,07/06/2022,14:48:00,13,156,2022,Female,32.504349,35.459827,173,94.7,10,NA,0,0,0,0,0,0,0,0,4,7.24,28.94,1.85,109,18,15.99,95,42.31,3,97,66,0,2,64,0.066853149,2.38428343,177.9390365,159.074684,6.8,200,95,75,NA,31.32
82,22745,1,83.67,0,13.92,LTE,31/05/2022,10:02:00,5,169,2022,Male,32.516343,35.482869,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.4522302,166.7583409,9.8,210,95,79.9,470.62,NA
83,22745,1,83.67,0,13.92,OFT,31/05/2022,10:02:00,5,169,2022,Male,32.516343,35.482869,186,234.07,19,0,0,1,5,0,0,0,1,10,1,3.02,3.02,NA,274,54,70.83,100,62.82,14.7,85.3,98,0,1,97,2.116117851,0.260712189,182.4522302,166.7583409,9.8,210,95,79.9,NA,NA
84,22745,1,83.67,0,13.92,CST,31/05/2022,10:02:00,5,169,2022,Male,32.516343,35.482869,186,105.03,6,NA,0,0,0,0,0,0,0,0,3,4.31,12.93,0.76,130,18,11.23,88,18.59,35.4,64.6,29,0,1,28,1.014684374,0.089421731,182.4522302,166.7583409,9.8,210,95,79.9,NA,141.82
85,22745,2,83.67,0,13.92,LTE,07/06/2022,10:36:00,7,177,2022,Male,32.516343,35.482869,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.4522302,174.6522269,9.8,210,95,79.9,2.5,NA
86,22745,2,83.67,0,13.92,OFT,07/06/2022,10:36:00,7,177,2022,Male,32.516343,35.482869,186,75.57,0,0,0,0,2,2,0,0,2,4,1,3.16,3.16,NA,98,3,5.17,24,7.05,0,100,11,1,1,9,-2.241575884,-2.22189885,182.4522302,174.6522269,9.8,210,95,79.9,NA,NA
87,22745,2,83.67,0,13.92,CST,07/06/2022,10:36:00,7,177,2022,Male,32.516343,35.482869,186,104.97,14,NA,0,0,1,9,0,0,0,3,5,4.49,22.47,0.88,136,10,12.78,91,12.82,14.8,85.2,20,0,0,20,2.048309344,-0.176524,182.4522302,174.6522269,9.8,210,95,79.9,NA,76.7
88,22745,3,83.67,0,13.92,LTE,13/06/2022,12:00:00,9,176,2022,Male,32.516343,35.482869,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.4522302,173.6654912,9.8,210,95,79.9,496.69,NA
89,22745,3,83.67,0,13.92,OFT,13/06/2022,12:00:00,9,176,2022,Male,32.516343,35.482869,186,194.3,3,0,0,0,3,0,0,0,1,14,1,7.32,7.32,NA,270,30,55.8,86,28.85,0.3,99.7,45,1,3,41,-0.843167529,0.077557926,182.4522302,173.6654912,9.8,210,95,79.9,NA,NA
90,22745,3,83.67,0,13.92,CST,13/06/2022,12:00:00,9,176,2022,Male,32.516343,35.482869,186,96.17,1,NA,0,0,0,0,0,0,2,2,5,4.25,21.27,0.49,135,19,20.4,97,29.49,0.2,99.8,46,1,1,44,-0.468392914,0.770601547,182.4522302,173.6654912,9.8,210,95,79.9,NA,95.28
91,22746,1,83.67,0,13.92,LTE,31/05/2022,08:13:00,1,179,2022,Female,32.516343,35.482869,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.5624659,180.7062666,3.6,203,91,79.8,97.97,NA
92,22746,1,83.67,0,13.92,OFT,31/05/2022,08:13:00,1,179,2022,Female,32.516343,35.482869,186,248.97,6,0,0,0,5,2,0,1,1,16,10,4.28,42.78,1.63,341,18,26.73,91,43.59,65.7,34.3,68,1,3,64,1.912896977,0.505920061,188.5624659,180.7062666,3.6,203,91,79.8,NA,NA
93,22746,1,83.67,0,13.92,CST,31/05/2022,08:13:00,1,179,2022,Female,32.516343,35.482869,186,83,1,NA,0,0,0,0,0,0,0,3,8,4.63,37.02,0.93,113,9,12.82,80,23.72,0.2,99.8,37,0,2,35,-0.707783733,0.54069591,188.5624659,180.7062666,3.6,203,91,79.8,NA,24.03
94,22746,2,83.67,0,13.92,LTE,07/06/2022,14:12:00,12,175,2022,Female,32.516343,35.482869,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.5624659,176.6681378,3.6,203,91,79.8,342.78,NA
95,22746,2,83.67,0,13.92,OFT,07/06/2022,14:12:00,12,175,2022,Female,32.516343,35.482869,186,224,0,0,1,0,2,0,0,0,0,4,11,4.26,46.91,0.68,296,57,43.96,100,45.51,8.7,91.3,71,0,5,66,0.127923485,1.267111951,188.5624659,176.6681378,3.6,203,91,79.8,NA,NA
96,22746,2,83.67,0,13.92,CST,07/06/2022,14:12:00,12,175,2022,Female,32.516343,35.482869,186,106.07,0,NA,0,0,0,0,1,0,0,0,6,5.22,31.34,1.07,139,9,13.79,90,29.49,0.4,99.6,46,0,1,45,-0.427696374,0.82608019,188.5624659,176.6681378,3.6,203,91,79.8,NA,33.48
97,22746,3,83.67,0,13.92,LTE,13/06/2022,10:06:00,5,170,2022,Female,32.516343,35.482869,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.5624659,171.6204767,3.6,203,91,79.8,82.74,NA
98,22746,3,83.67,0,13.92,OFT,13/06/2022,10:06:00,5,170,2022,Female,32.516343,35.482869,186,144.37,0,5,0,0,1,0,0,0,0,5,23,5.43,124.97,1.22,208,29,35.99,67,51.28,4.2,95.8,80,0,4,76,0.15278359,2.504673675,188.5624659,171.6204767,3.6,203,91,79.8,NA,NA
99,22746,3,83.67,0,13.92,CST,13/06/2022,10:06:00,5,170,2022,Female,32.516343,35.482869,186,100.23,0,NA,0,0,0,0,0,0,0,4,6,5.04,30.24,0.98,151,7,14.2,95,36.54,10.8,89.2,57,0,2,55,-0.711927799,1.106424299,188.5624659,171.6204767,3.6,203,91,79.8,NA,19.89
100,22747,1,96.56,0,0,LTE,31/05/2022,11:00:00,7,167,2022,Female,32.53295,35.451315,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.7705452,167.4819783,7.8,205,94,78.8,285.7,NA
101,22747,1,96.56,0,0,OFT,31/05/2022,11:00:00,7,167,2022,Female,32.53295,35.451315,185,283.5,3,0,2,8,8,0,0,0,3,9,2,6.42,12.83,1.59,367,25,20.88,99,36.54,82.1,17.9,57,1,3,53,2.587390594,-1.637705927,185.7705452,167.4819783,7.8,205,94,78.8,NA,NA
102,22747,1,96.56,0,0,CST,31/05/2022,11:00:00,7,167,2022,Female,32.53295,35.451315,185,124.2,1,NA,1,0,1,1,1,0,1,2,1,3.57,3.57,NA,151,6,7.36,92,16.67,3.7,96.3,26,1,1,24,2.335802746,-1.021614773,185.7705452,167.4819783,7.8,205,94,78.8,NA,67.04
103,22747,2,96.56,0,0,LTE,07/06/2022,07:39:00,1,174,2022,Female,32.53295,35.451315,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.7705452,174.502181,7.8,205,94,78.8,26.61,NA
104,22747,2,96.56,0,0,OFT,07/06/2022,07:39:00,1,174,2022,Female,32.53295,35.451315,185,295.77,2,0,0,0,5,0,0,0,3,10,2,6.73,13.45,0.19,375,22,22.12,99,39.1,46.8,53.2,61,2,3,56,1.667343064,-0.508786549,185.7705452,174.502181,7.8,205,94,78.8,NA,NA
105,22747,2,96.56,0,0,CST,07/06/2022,07:39:00,1,174,2022,Female,32.53295,35.451315,185,114.47,0,NA,0,0,1,0,0,0,0,5,3,6.75,20.25,1.2,151,12,12.45,100,33.97,45.9,54.1,53,0,2,51,1.062337711,0.643195883,185.7705452,174.502181,7.8,205,94,78.8,NA,66.8
106,22747,3,96.56,0,0,LTE,13/06/2022,08:37:00,2,170,2022,Female,32.53295,35.451315,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.7705452,170.4906366,7.8,205,94,78.8,8.56,NA
107,22747,3,96.56,0,0,OFT,13/06/2022,08:37:00,2,170,2022,Female,32.53295,35.451315,185,242.3,0,0,7,0,4,0,3,0,3,10,8,3.04,24.33,0.86,332,41,32.42,98,67.31,31.7,68.3,105,1,3,101,2.011700256,1.36675278,185.7705452,170.4906366,7.8,205,94,78.8,NA,NA
108,22747,3,96.56,0,0,CST,13/06/2022,08:37:00,2,170,2022,Female,32.53295,35.451315,185,86.2,0,NA,6,0,0,0,0,0,0,2,6,5.5,32.98,0.91,99,16,16.16,81,42.31,14.6,85.4,66,0,0,66,-1.148601024,1.488880782,185.7705452,170.4906366,7.8,205,94,78.8,NA,24.45
109,22748,1,31.2,0,66.73,LTE,07/06/2022,10:03:00,6,168,2022,Male,32.528303,35.413532,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.724729,168.4848644,8.6,205,95,71.8,442.23,NA
110,22748,1,31.2,0,66.73,OFT,07/06/2022,10:03:00,6,168,2022,Male,32.528303,35.413532,174,270.87,0,0,0,0,5,1,0,0,5,11,3,6.47,19.42,1.21,367,21,18.38,95,31.41,33.9,66.1,49,1,5,43,1.46261067,-0.725449796,174.724729,168.4848644,8.6,205,95,71.8,NA,NA
111,22748,1,31.2,0,66.73,CST,07/06/2022,10:03:00,6,168,2022,Male,32.528303,35.413532,174,73.03,0,NA,0,0,0,13,0,0,0,1,4,4.62,18.5,1.36,98,7,11.01,65,25.64,0.1,99.9,40,0,1,39,-0.442032767,0.259642161,174.724729,168.4848644,8.6,205,95,71.8,NA,91.02
112,22748,2,31.2,0,66.73,LTE,13/06/2022,10:40:00,6,161,2022,Male,32.528303,35.413532,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.724729,161.4646617,8.6,205,95,71.8,169.09,NA
113,22748,2,31.2,0,66.73,OFT,13/06/2022,10:40:00,6,161,2022,Male,32.528303,35.413532,174,290.27,0,0,0,0,3,0,1,0,3,10,3,5.45,16.36,2.47,353,13,12.19,89,25.64,17.9,82.1,40,2,2,36,1.043587754,-1.307585396,174.724729,161.4646617,8.6,205,95,71.8,NA,NA
114,22748,2,31.2,0,66.73,CST,13/06/2022,10:40:00,6,161,2022,Male,32.528303,35.413532,174,39.67,0,NA,0,0,0,5,0,0,0,0,4,5.43,21.71,2.97,54,2,4.02,33,13.46,0.2,99.8,21,0,1,20,0.235218925,0.510636917,174.724729,161.4646617,8.6,205,95,71.8,NA,43.72
115,22748,3,31.2,0,66.73,LTE,21/06/2022,10:03:00,5,162,2022,Male,32.528303,35.413532,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.724729,162.4675478,8.6,205,95,71.8,38.2,NA
116,22748,3,31.2,0,66.73,OFT,21/06/2022,10:03:00,5,162,2022,Male,32.528303,35.413532,174,300.23,0,0,0,0,3,0,0,0,1,12,2,3.43,6.86,1.48,397,13,15.21,99,22.44,0.5,99.5,35,1,2,32,-0.286130036,-1.542813749,174.724729,162.4675478,8.6,205,95,71.8,NA,NA
117,22748,3,31.2,0,66.73,CST,21/06/2022,10:03:00,5,162,2022,Male,32.528303,35.413532,174,64.7,1,NA,0,0,1,3,0,0,2,3,3,4.64,13.93,0.53,87,7,7.85,57,19.23,0,100,30,0,1,29,1.119399814,-0.336922835,174.724729,162.4675478,8.6,205,95,71.8,NA,198.12
118,22749,1,31.2,0,66.73,LTE,07/06/2022,13:38:00,11,172,2022,Female,32.528303,35.413532,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.4694298,174.2182035,6.3,202,93,77.1,497.21,NA
119,22749,1,31.2,0,66.73,OFT,07/06/2022,13:38:00,11,172,2022,Female,32.528303,35.413532,186,270.6,2,0,0,0,5,54,1,0,2,10,0,0,0,NA,361,26,28.32,100,37.18,72.4,27.6,58,2,2,54,0.909649453,-0.978657069,189.4694298,174.2182035,6.3,202,93,77.1,NA,NA
120,22749,1,31.2,0,66.73,CST,07/06/2022,13:38:00,11,172,2022,Female,32.528303,35.413532,186,116.17,0,NA,0,0,1,8,0,0,0,2,2,4.73,9.46,1.08,129,16,12.17,100,16.03,5.9,94.1,25,1,1,23,1.440907088,-1.409107463,189.4694298,174.2182035,6.3,202,93,77.1,NA,115.34
121,22749,2,31.2,0,66.73,LTE,13/06/2022,11:08:00,7,162,2022,Female,32.528303,35.413532,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.4694298,164.0892381,6.3,202,93,77.1,60.48,NA
122,22749,2,31.2,0,66.73,OFT,13/06/2022,11:08:00,7,162,2022,Female,32.528303,35.413532,186,305.1,0,0,2,0,5,5,2,0,1,8,2,3.97,7.94,0.18,372,27,19.17,99,33.33,78.7,21.3,52,3,2,47,1.469138086,-1.033601151,189.4694298,164.0892381,6.3,202,93,77.1,NA,NA
123,22749,2,31.2,0,66.73,CST,13/06/2022,11:08:00,7,162,2022,Female,32.528303,35.413532,186,92.67,0,NA,1,0,1,5,0,0,0,2,6,5.18,31.07,2.28,103,22,21.73,88,33.97,8.3,91.7,53,0,0,53,-0.092505831,0.159179355,189.4694298,164.0892381,6.3,202,93,77.1,NA,94.46
124,22749,3,31.2,0,66.73,LTE,21/06/2022,13:16:00,11,171,2022,Female,32.528303,35.413532,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.4694298,173.2053069,6.3,202,93,77.1,0.3,NA
125,22749,3,31.2,0,66.73,OFT,21/06/2022,13:16:00,11,171,2022,Female,32.528303,35.413532,186,206.47,0,0,0,0,3,0,0,0,3,11,0,0,0,NA,243,48,86.75,100,30.13,0.4,99.6,47,2,3,42,-1.178700985,-0.083869821,189.4694298,173.2053069,6.3,202,93,77.1,NA,NA
126,22749,3,31.2,0,66.73,CST,21/06/2022,13:16:00,11,171,2022,Female,32.528303,35.413532,186,62.47,0,NA,0,0,0,4,0,0,0,1,0,0,0,NA,45,15,56.9,100,18.59,0,100,29,0,1,28,-0.936119071,-2.280941577,189.4694298,173.2053069,6.3,202,93,77.1,NA,157.43
127,22750,1,7.39,0,89.13,LTE,07/06/2022,09:36:00,5,168,2022,Female,32.538802,35.410296,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.1103325,171.3111982,7.9,200,95,75.7,140.71,NA
128,22750,1,7.39,0,89.13,OFT,07/06/2022,09:36:00,5,168,2022,Female,32.538802,35.410296,179,96.4,1,0,0,0,4,0,0,0,1,6,4,8.21,32.84,2.3,118,27,15.65,42,15.38,0,100,24,0,2,22,-0.98778032,-0.531884447,184.1103325,171.3111982,7.9,200,95,75.7,NA,NA
129,22750,1,7.39,0,89.13,CST,07/06/2022,09:36:00,5,168,2022,Female,32.538802,35.410296,179,98.1,0,NA,0,0,0,12,0,0,0,3,3,4.82,14.47,1.21,121,17,8.02,83,14.74,1.6,98.4,23,0,1,22,0.374183808,-0.535198878,184.1103325,171.3111982,7.9,200,95,75.7,NA,6.42
130,22750,2,7.39,0,89.13,LTE,13/06/2022,09:35:00,4,180,2022,Female,32.538802,35.410296,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.1103325,183.5477123,7.9,200,95,75.7,415.01,NA
131,22750,2,7.39,0,89.13,OFT,13/06/2022,09:35:00,4,180,2022,Female,32.538802,35.410296,179,248.23,1,0,0,0,4,0,0,0,2,14,3,7.54,22.62,1.63,293,62,54.74,100,39.1,3.6,96.4,61,0,6,55,0.221893364,0.600034266,184.1103325,183.5477123,7.9,200,95,75.7,NA,NA
132,22750,2,7.39,0,89.13,CST,13/06/2022,09:35:00,4,180,2022,Female,32.538802,35.410296,179,101.67,0,NA,0,0,0,1,0,0,0,3,4,5.41,21.64,0.47,136,16,20.13,96,39.1,1.2,98.8,61,0,2,59,-0.72970561,1.097575086,184.1103325,183.5477123,7.9,200,95,75.7,NA,41.66
133,22750,3,7.39,0,89.13,LTE,21/06/2022,11:11:00,7,174,2022,Female,32.538802,35.410296,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.1103325,177.4294552,7.9,200,95,75.7,229.07,NA
134,22750,3,7.39,0,89.13,OFT,21/06/2022,11:11:00,7,174,2022,Female,32.538802,35.410296,179,150.6,0,0,0,0,3,0,0,0,2,10,0,0,0,NA,142,71,96.96,100,34.62,1,99,54,0,5,49,-1.406828686,0.38311355,184.1103325,177.4294552,7.9,200,95,75.7,NA,NA
135,22750,3,7.39,0,89.13,CST,21/06/2022,11:11:00,7,174,2022,Female,32.538802,35.410296,179,63.03,2,NA,0,0,1,0,0,0,1,4,1,3.85,3.85,NA,61,34,50.24,100,18.59,0,100,29,0,1,28,0.699570806,-1.55667632,184.1103325,177.4294552,7.9,200,95,75.7,NA,148.82
136,32419,1,44.16,65.8,0,LTE,22/06/2020,13:17:00,5,160,2020,Female,32.451363,35.015859,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.5476004,157.8777192,7.3,210,93,75.2,2.5,NA
137,32419,1,44.16,65.8,0,OFT,22/06/2020,13:17:00,5,160,2020,Female,32.451363,35.015859,181,281.4,9,1,6,0,3,0,1,1,2,7,6,5.32,31.89,1.23,374,30,17.4,100,32.69,45.4,54.6,51,1,4,46,1.369919485,-0.439373515,177.5476004,157.8777192,7.3,210,93,75.2,NA,NA
138,32419,1,44.16,65.8,0,CST,22/06/2020,13:17:00,5,160,2020,Female,32.451363,35.015859,181,111.57,3,NA,5,0,0,0,0,0,0,2,4,4.4,17.59,0.41,134,24,11.36,100,24.36,25.4,74.6,38,0,1,37,1.10744647,1.076690882,177.5476004,157.8777192,7.3,210,93,75.2,NA,70.25
139,32419,2,44.16,65.8,0,LTE,29/06/2020,10:59:00,3,172,2020,Female,32.451363,35.015859,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.5476004,169.7185482,7.3,210,93,75.2,2.7,NA
140,32419,2,44.16,65.8,0,OFT,29/06/2020,10:59:00,3,172,2020,Female,32.451363,35.015859,181,157.63,6,0,7,0,2,0,0,0,2,8,7,5.88,41.15,0.42,164,56,75.33,100,41.67,20.2,79.8,65,0,3,62,0.622495822,1.651138547,177.5476004,169.7185482,7.3,210,93,75.2,NA,NA
141,32419,2,44.16,65.8,0,CST,29/06/2020,10:59:00,3,172,2020,Female,32.451363,35.015859,181,83.93,1,NA,4,0,0,0,0,0,0,1,1,4.38,4.38,NA,106,32,21.96,100,25.64,4.2,95.8,40,0,1,39,-0.334546734,-0.547394062,177.5476004,169.7185482,7.3,210,93,75.2,NA,39.85
142,32419,3,44.16,65.8,0,LTE,06/07/2020,10:02:00,2,171,2020,Female,32.451363,35.015859,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.5476004,168.7318124,7.3,210,93,75.2,1.3,NA
143,32419,3,44.16,65.8,0,OFT,06/07/2020,10:02:00,2,171,2020,Female,32.451363,35.015859,181,97.07,0,0,0,0,1,1,0,0,1,3,1,3.89,3.89,NA,63,40,163.57,100,28.21,0.3,99.7,44,1,9,34,-2.164244685,1.198138409,177.5476004,168.7318124,7.3,210,93,75.2,NA,NA
144,32419,3,44.16,65.8,0,CST,06/07/2020,10:02:00,2,171,2020,Female,32.451363,35.015859,181,38.1,0,NA,0,0,1,0,0,0,1,1,1,3,3,NA,20,18,76.24,100,25.64,0.1,99.9,40,0,1,39,-1.108922681,-2.444347588,177.5476004,168.7318124,7.3,210,93,75.2,NA,45.79
145,32420,1,16.66,74.93,0,LTE,22/06/2020,12:36:00,4,172,2020,Male,32.444244,34.973546,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.8121963,172.4964088,11.1,205,97,77.5,9.5,NA
146,32420,1,16.66,74.93,0,OFT,22/06/2020,12:36:00,4,172,2020,Male,32.444244,34.973546,195,356.43,0,0,0,0,2,1,2,0,1,2,3,2.06,6.17,0.79,400,8,11.5,100,28.21,2.4,97.6,44,1,3,40,-0.05294719,-1.695131803,195.8121963,172.4964088,11.1,205,97,77.5,NA,NA
147,32420,1,16.66,74.93,0,CST,22/06/2020,12:36:00,4,172,2020,Male,32.444244,34.973546,195,54.93,0,NA,0,0,0,13,0,0,0,0,3,3.87,11.61,1.18,68,6,14.32,52,21.79,10.4,89.6,34,0,2,32,-0.667520374,-0.40175038,195.8121963,172.4964088,11.1,205,97,77.5,NA,88.32
148,32420,2,16.66,74.93,0,LTE,29/06/2020,12:02:00,5,178,2020,Male,32.444244,34.973546,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.8121963,178.5137254,11.1,205,97,77.5,22.3,NA
149,32420,2,16.66,74.93,0,OFT,29/06/2020,12:02:00,5,178,2020,Male,32.444244,34.973546,195,306.7,1,0,0,0,3,1,1,1,1,2,3,2.51,7.54,0.16,382,19,17.35,100,39.1,18.2,81.8,61,1,4,56,1.240221874,-0.807899834,195.8121963,178.5137254,11.1,205,97,77.5,NA,NA
150,32420,2,16.66,74.93,0,CST,29/06/2020,12:02:00,5,178,2020,Male,32.444244,34.973546,195,80.93,0,NA,0,0,1,2,0,0,0,0,3,3.48,10.44,0.17,107,3,6.04,67,18.59,0.7,99.3,29,1,1,27,1.402940758,-0.850683119,195.8121963,178.5137254,11.1,205,97,77.5,NA,38.81
151,32420,3,16.66,74.93,0,LTE,06/07/2020,11:12:00,4,182,2020,Male,32.444244,34.973546,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.8121963,182.5252698,11.1,205,97,77.5,3.1,NA
152,32420,3,16.66,74.93,0,OFT,06/07/2020,11:12:00,4,182,2020,Male,32.444244,34.973546,195,159.63,0,0,3,0,0,0,2,0,0,3,7,2.54,17.81,0.62,217,54,84.48,100,60.26,30.2,69.8,94,0,2,92,-0.304640508,2.317093266,195.8121963,182.5252698,11.1,205,97,77.5,NA,NA
153,32420,3,16.66,74.93,0,CST,06/07/2020,11:12:00,4,182,2020,Male,32.444244,34.973546,195,37.3,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,37,24,47.97,87,9.62,0,100,15,0,0,15,-0.766182656,-2.344703254,195.8121963,182.5252698,11.1,205,97,77.5,NA,211.77
154,32421,1,49,55.29,0,LTE,22/06/2020,11:55:00,3,175,2020,Male,32.451819,35.015313,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.8038661,175.5050671,8.8,205,93,98.5,244.24,NA
155,32421,1,49,55.29,0,OFT,22/06/2020,11:55:00,3,175,2020,Male,32.451819,35.015313,193,361.93,0,0,0,0,1,0,0,0,0,2,1,6.59,6.59,NA,414,3,6.95,100,7.05,0,100,11,1,0,10,-0.78103004,-2.842730982,193.8038661,175.5050671,8.8,205,93,98.5,NA,NA
